,id,transcription,file,len,OCEAN,scenario,seat,speaker,num_discourse
505,"['TP', 'L04', '004', '0162']",아니면 그냥 강남 구경을 하죠 뭐,1,6,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",TP,L04,4,162
506,"['TP', 'L04', '004', '0163']",뭐 지나가다 보면 뭐 새로운 거 있거나 하면 외국인 친구가 저거 괜찮은 것 같다고 하면 뭐 그런 거 보는 것도,1,20,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",TP,L04,4,163
507,"['TP', 'L03', '003', '0036']",워낙 그냥 길거리 걸으면 널린게 상가여서 강남,1,7,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",TP,L03,3,36
508,"['TP', 'L02', '002', '0040']",그런 높은 빌딩을 신기해할 수도 있어요,1,6,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",TP,L02,2,40
509,"['TP', 'L04', '004', '0164']",음 맞아,1,2,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",TP,L04,4,164
510,"['TP', 'L02', '002', '0041']",아무래도 외국에는 빌딩들이 높지 않다 보니까,1,6,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",TP,L02,2,41
511,"['TP', 'L04', '004', '0165']",그러고 집에 보내는 걸로,1,4,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",TP,L04,4,165
512,"['TP', 'L03', '003', '0037']",하고 인천으로 가서 보내고,1,4,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",TP,L03,3,37
513,"['TP', 'L04', '004', '0166']",인천 같이 갈까요?,1,3,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",TP,L04,4,166
514,"['TP', 'L03', '003', '0038']",어,1,1,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",TP,L03,3,38
515,"['TP', 'L04', '004', '0167']",공항 뭐 지하철 타서 보내면 알아서 너무 정 없나,1,9,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",TP,L04,4,167
516,"['TP', 'L04', '004', '0168']",왜냐하면 이게 만약에 자기가 서울 사는 사람이면 또 인천 갔다가 다시 와야 되니까,1,13,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",TP,L04,4,168
517,"['TP', 'L01', '001', '0073']",리무진 태워서 보내면,1,3,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",TP,L01,1,73
518,"['TP', 'L04', '004', '0169']",공항까지는 내리지만 않으면 알아서 잘 가지 인천공항에서 내려라라고 하면 될 것 같긴 한데,1,13,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",TP,L04,4,169
519,"['TP', 'L01', '001', '0074']",지금 18분,1,2,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",TP,L01,1,74
520,"['TP', 'L04', '004', '0170']",좀 넘었으니까 정리를 한번,1,4,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",TP,L04,4,170
521,"['TP', 'L03', '003', '0039']",일단 저희가 도착 인천공항에 도착을 하면은 점심쯤에 한정식 한정식을 먹고 왜냐면 그 외국인들이 음식 같은 거를 잘 한국 한정식은 잘 못 먹어봤으니까 이 한정식을 먹고 경복궁에 가서 한복을 대여하고 한복을 입고 경복궁을 간 후에 다 보고 난 다음에 빙수를 먹고 청계천을 거닐면서 저녁 시간쯤에는 회를 먹고 그 다음에 포장마차,1,49,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",TP,L03,3,39
522,"['TP', 'L01', '001', '0075']",어 지금 5초 남아서 발표 아예 하셔야 될 것 같은,1,10,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",TP,L01,1,75
523,"['TP', 'L01', '001', '0076']",20분 안에 해결하라고,1,3,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",TP,L01,1,76
524,"['TP', 'L04', '004', '0171']",맞네 지금 이제 발표한다고 생각하시면 될 것 같아요.,1,8,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",TP,L04,4,171
525,"['TP', 'L01', '001', '0077']",죄송합니다 끊어서,1,2,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",TP,L01,1,77
526,"['TP', 'L03', '003', '0040']",처음부터 다시 발표하라고,1,3,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",TP,L03,3,40
527,"['TP', 'L04', '004', '0172']",네. 지금 발표하시면 될 것 같아요,1,6,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",TP,L04,4,172
528,"['TP', 'L01', '001', '0078']",아 이렇게 발표하시고 계신 거였어요?,1,5,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",TP,L01,1,78
529,"['TP', 'L04', '004', '0173']",뭔가 그 느낌이 그런 것 같아가지고 그럼 중간 끊긴 뒤부터 다시 하시면 될 것 같아요.,1,15,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",TP,L04,4,173
530,"['TP', 'L03', '003', '0041']","지금 저녁에는 회를 먹고 그다음에 2차로 포장마차를 간 후에 이제 다 먹고 숙소에 가서 숙소에서 배달 음식 치킨이나 맥주를 시켜서 먹고, 그 다음에 뭐 내일 아침 그 다음 날 아침에는 갈비탕과 또는 설렁탕류 같은 걸 먹고 이제 강남 쪽에 가서 이제 길거리 거닐면서 보고 싶은데 구경시키고 그 다음에 이동 수단 같은 걸 태워서 보내고 이렇게 진행을 하면 될 것 같습니다.",1,60,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",TP,L03,3,41
531,"['TP', 'L01', '001', '0079']",와 고생하셨습니다,1,2,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",TP,L01,1,79
532,"['TP', 'L04', '004', '0174']",고생하셨습니다,1,1,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",TP,L04,4,174
533,"['TP', 'L02', '002', '0043']",고생하셨습니다,1,1,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",TP,L02,2,43
534,"['TP', 'L04', '004', '0175']",아 이게 너무 두루뭉실해가지고,1,4,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",TP,L04,4,175
535,"['GS', 'L04', '004', '0001']",저희 시간 5분 된 것 같아서 혹시 더 하실거,2,9,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,1
536,"['GS', 'L03', '003', '0001']",네 다 했습니다.,2,3,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",GS,L03,3,1
537,"['GS', 'L02', '002', '0001']",저도 다 했습니다.,2,3,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",GS,L02,2,1
538,"['GS', 'L01', '001', '0001']",네,2,1,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,1
539,"['GS', 'L04', '004', '0002']",저희가 팀 순위를 아무래도 매겨야 되다 보니까 어떻게 한 명씩 그냥 모든걸 다 말하기엔 좀 많으니까 끊어서 할까요?,2,18,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,2
540,"['GS', 'L01', '001', '0002']",맞아요,2,1,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,2
541,"['GS', 'L03', '003', '0002']",네 괜찮습니다,2,2,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",GS,L03,3,2
542,"['GS', 'L04', '004', '0003']",그러면 앞 순위부터 할까요 아니면 뒷 순위부터,2,7,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,3
543,"['GS', 'L03', '003', '0003']",음,2,1,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",GS,L03,3,3
544,"['GS', 'L02', '002', '0002']",5위까지 같이 말해보는 건 어떨까요?,2,5,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",GS,L02,2,2
545,"['GS', 'L04', '004', '0004']",1위부터 5위까지 그럼 한 명씩,2,5,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,4
546,"['GS', 'L03', '003', '0004']",네 괜찮을 것 같습니다,2,4,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",GS,L03,3,4
547,"['GS', 'L04', '004', '0005']",혹시 뭐 먼저 하실,2,4,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,5
548,"['GS', 'L04', '004', '0006']",제가 먼저 하겠습니다. 이쪽 방향으로 돌아가면서 하겠습니다,2,7,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,6
549,"['GS', 'L03', '003', '0005']",네 괜찮습니다,2,2,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",GS,L03,3,5
550,"['GS', 'L01', '001', '0003']",네,2,1,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,3
551,"['GS', 'L04', '004', '0007']",어 저 같은 경우는 아무래도 축제다 보니까 가수를 위주로 상위권을 두었고 순위 같은 경우에는 1위는 아이유였고요.,2,16,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,7
552,"['GS', 'L04', '004', '0008']","2위는 모아 3위는 김유정, 4위는 이수근, 5위는 펭수 순으로 말씀.",2,10,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,8
553,"['GS', 'L03', '003', '0006']",아 네,2,2,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",GS,L03,3,6
554,"['GS', 'L03', '003', '0007']",저는 어 인지도가 높은 순으로 좀 정리를 해봤고요.,2,8,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",GS,L03,3,7
555,"['GS', 'L03', '003', '0008']","첫 번째는 아이유 두 번째는 한혜진 그리고 세 번째는 설명석 그리고 네 번째는 이수근, 다섯 번째는 보아 순으로 했습니다.",2,19,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",GS,L03,3,8
556,"['GS', 'L02', '002', '0003']",저도 인지도 높은 순과 제가 가장 보고 싶은 연예인 위주로 순서를 나열해 봤고요.,2,13,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",GS,L02,2,3
557,"['GS', 'L02', '002', '0004']",첫 번째는 아이유 그리고 두 번째는 보아 님 그리고 세 번째는 어 이종석 님 그리고 네 번째는 이제 노라조 님 그리고 5위는 김유정 님 이렇게 했습니다,2,26,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",GS,L02,2,4
558,"['GS', 'L01', '001', '0004']","저도 수익성이나 흥행을 고려하라고 그래서 불렀을 때 가장 사람이 많이 모일 것 같은 사람 순으로 선정을 했고 그래서 1위는 아이유, 2위는 펭수 3위는 김유정 그리고 4위는 보아고 5위는 이수근입니다",2,29,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,4
559,"['GS', 'L01', '001', '0005']","그런데 생각보다 시간이 8분밖에 안, 아 13분이 남았는데 논의를 빨리 시작하는 게 좋을 것 같아서 결정하는 데 오래 걸릴 것 같거든요.",2,21,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,5
560,"['GS', 'L01', '001', '0006']",그래서 나름 결정하는 룰을 정했으면 좋겠는데 약간 사실 이상형 월드컵 이런 것도 있고 아래에서부터 이제 바닥에서 그러니까 꼴찌부터 정해서 올라가는 게 어떨까 싶거든요,2,23,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,6
561,"['GS', 'L04', '004', '0009']",밑에서부터 정하면 좀 빨리 갈 것 같아가지고,2,7,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,9
562,"['GS', 'L01', '001', '0007']",네네,2,1,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,7
563,"['GS', 'L04', '004', '0010']",저는 10위 아래로는 사실 별 의미가 없다고 생각을 해서,2,9,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,10
564,"['GS', 'L01', '001', '0008']",사실 예,2,2,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,8
565,"['GS', 'L04', '004', '0011']",지금 한 번 정해볼까요?,2,4,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,11
566,"['GS', 'L04', '004', '0012']",15위 같은 경우에는 저는 이제 홍석천씨를,2,6,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,12
567,"['GS', 'L03', '003', '0009']",음,2,1,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",GS,L03,3,9
568,"['GS', 'L01', '001', '0010']",음 혹시,2,2,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,10
569,"['GS', 'L04', '004', '0013']",호불호가 많다 보니까,2,3,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,13
570,"['GS', 'L03', '003', '0010']",저도 사실 홍석천 씨를 15위로 선정을 했는데 똑같이 이제 호불호가 많이 갈릴 것 같고,2,14,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",GS,L03,3,10
571,"['GS', 'L01', '001', '0011']",아,2,1,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,11
572,"['GS', 'L01', '001', '0012']",저는 그래도 뭔가 요새 최근에 유튜브 같은 거로 활동을 했기 때문에 그것보다 박세리가 좀 뜬금 없더라고요,2,16,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,12
573,"['GS', 'L03', '003', '0011']",예 그럴 것 같아서,2,4,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",GS,L03,3,11
574,"['GS', 'L02', '002', '0005']",골프선수신가요?,2,1,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",GS,L02,2,5
575,"['GS', 'L02', '002', '0006']",맞죠? 박세리 선수 예,2,4,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",GS,L02,2,6
576,"['GS', 'L03', '003', '0012']",네 맞습니다,2,2,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",GS,L03,3,12
577,"['GS', 'L01', '001', '0013']",네 골프선수여서 사람들이 골프 좋아하는 사람들만 모일 것 같고,2,9,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,13
578,"['GS', 'L03', '003', '0013']",또 대학생이다 보니까 대학 축제다 보니까,2,6,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",GS,L03,3,13
579,"['GS', 'L01', '001', '0014']",아 대학 대학 축제인가요?,2,4,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,14
580,"['GS', 'L03', '003', '0014']",아 그냥 축제 음 아아 죄송합니다,2,6,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",GS,L03,3,14
581,"['GS', 'L04', '004', '0014']",축제 그냥 축제가 특정 지어지는 거는 아닌 걸로 알고 있어요,2,10,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,14
582,"['GS', 'L01', '001', '0015']",그래서 박세리로 했습니다. 혹시?,2,4,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,15
583,"['GS', 'L04', '004', '0015']",박세리는 …,2,2,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,15
584,"['GS', 'L02', '002', '0007']",아 저는 11위부터는 저도 딱히 의미를 두지 않아가지고 15위는 조수미 님으로 했습니다,2,12,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",GS,L02,2,7
585,"['GS', 'L01', '001', '0016']",아 다 고만고만한,2,3,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,16
586,"['GS', 'L01', '001', '0017']",그러면 사실 크게 의미가 없어 두 분이나 홍석천으로 갔으면,2,9,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,17
587,"['GS', 'L04', '004', '0016']",혹시 그럼 십,2,3,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,16
588,"['GS', 'L01', '001', '0018']",4위?,2,1,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,18
589,"['GS', 'L04', '004', '0017']",15위부터 11위까지 혹시 저는 홍석천 그 사이에 그 의미가 없어서 홍석천 씨 박세리 씨 설민석 씨 조수미 씨 한혜진 씨 이렇게 다섯 분이,2,23,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,17
590,"['GS', 'L01', '001', '0019']",오,2,1,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,19
591,"['GS', 'L02', '002', '0008']",저도 비슷해요.,2,2,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",GS,L02,2,8
592,"['GS', 'L01', '001', '0020']",네 네 분이 저도 겹쳐서,2,5,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,20
593,"['GS', 'L02', '002', '0009']",조수미 씨 설민석 씨 박세리 씨 오은영 씨 나영석 씨,2,10,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",GS,L02,2,9
594,"['GS', 'L03', '003', '0015']",네 저도 조수미 씨 오은영 씨 박나래 씨 박세리 씨 이렇게,2,11,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",GS,L03,3,15
595,"['GS', 'L04', '004', '0018']",그럼 지금 많이 겹치는 부분이,2,5,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,18
596,"['GS', 'L01', '001', '0021']",홍석천 박세리 조수미?,2,3,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,21
597,"['GS', 'L04', '004', '0019']",조수미 설민석?,2,2,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,19
598,"['GS', 'L03', '003', '0016']",설민석,2,1,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",GS,L03,3,16
599,"['GS', 'L01', '001', '0022']",설민석 예,2,2,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,22
600,"['GS', 'L04', '004', '0020']",한혜진 아니면,2,2,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,20
601,"['GS', 'L01', '001', '0023']",한혜진 누가 되게 높이 올리셨던 것 같은데,2,7,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,23
602,"['GS', 'L03', '003', '0017']",아 저는 높이 올렸습니다,2,4,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",GS,L03,3,17
603,"['GS', 'L01', '001', '0024']",그렇죠?,2,1,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,24
604,"['GS', 'L04', '004', '0021']",아,2,1,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,21
605,"['GS', 'L04', '004', '0022']",그럼 일단 4명부터 정할까요?,2,4,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,22
606,"['GS', 'L01', '001', '0025']",일단,2,1,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,25
607,"['GS', 'L04', '004', '0023']",15위는 박세리님,2,2,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,23
608,"['GS', 'L02', '002', '0010']",박세리님,2,1,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",GS,L02,2,10
609,"['GS', 'L03', '003', '0018']",네,2,1,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",GS,L03,3,18
610,"['GS', 'L01', '001', '0026']",정리가 되셨나요? 의미가 없는 건가?,2,5,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,26
611,"['GS', 'L04', '004', '0024']",아 저야 뭐,2,3,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,24
612,"['GS', 'L04', '004', '0025']",14위는 홍석천씨,2,2,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,25
613,"['GS', 'L01', '001', '0027']",네네,2,1,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,27
614,"['GS', 'L03', '003', '0019']",네 홍석천씨,2,2,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",GS,L03,3,19
615,"['GS', 'L04', '004', '0026']",13위는 설민석씨가 아무래도 논란이 있었는데,2,5,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,26
616,"['GS', 'L04', '004', '0027']",설민석님,2,1,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,27
617,"['GS', 'L03', '003', '0020']",설민석씨 괜찮네요,2,2,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",GS,L03,3,20
618,"['GS', 'L01', '001', '0028']",논란이 있었는데 그렇죠,2,3,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,28
619,"['GS', 'L03', '003', '0021']",논란,2,1,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",GS,L03,3,21
620,"['GS', 'L02', '002', '0011']",오은영님은 어떤 분이신가요?,2,3,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",GS,L02,2,11
621,"['GS', 'L03', '003', '0022']",이게 그,2,2,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",GS,L03,3,22
622,"['GS', 'L01', '001', '0029']",어 엄청 핫하신데,2,3,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,29
623,"['GS', 'L02', '002', '0012']",아,2,1,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",GS,L02,2,12
624,"['GS', 'L03', '003', '0023']",심리 치료 상담 이런 걸 하시고 요새,2,7,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",GS,L03,3,23
625,"['GS', 'L01', '001', '0030']",약간 전 연령층을 다 다루기 때문에 애들부터 부부까지 다 다뤄서 좀 유명 오히려 저는 흥행이 있다고 봤는데,2,17,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,30
626,"['GS', 'L03', '003', '0024']",요새 티비에 좀 많이 나오긴 했는데,2,6,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",GS,L03,3,24
627,"['GS', 'L04', '004', '0028']",저도 티비 잘 안 봐서 그냥 이름하고 어떤 분이시라는걸 많이 들어봐서,2,11,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,28
628,"['GS', 'L03', '003', '0025']",맞아요,2,1,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",GS,L03,3,25
629,"['GS', 'L02', '002', '0013']",그러면 이제 12위부터 정하면 되겠네요,2,5,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",GS,L02,2,13
630,"['GS', 'L04', '004', '0029']",12위를 그러면 조수미 씨,2,4,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,29
631,"['GS', 'L01', '001', '0031']",그렇죠 조수미 씨도 좀 뭔가 오래된 느낌이 확실히,2,8,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",GS,L01,1,31
632,"['GS', 'L03', '003', '0026']",조수미 씨 네,2,3,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",GS,L03,3,26
633,"['GS', 'L04', '004', '0030']",11위는,2,1,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,30
634,"['GS', 'L04', '004', '0031']",11위에는,2,1,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,31
635,"['GS', 'L02', '002', '0014']",저는 오은영 님 아니면 나영석 님,2,6,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",GS,L02,2,14
636,"['GS', 'L04', '004', '0032']",다른 분들 혹시?,2,3,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",GS,L04,4,32
