OCEAN,instruction,transcription
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 이수근 님을 그 좀 뭔가 예 그냥 MC 그냥 딱히 이유가 없었던거 같아요
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",이수근님 그냥 네 워낙 호감적인 이미지 때문에 그냥 5등 나머지 제가 예 그랬던거 같습니다 그럼 어떤분
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.","저는 어? 몇등이었죠? 6등, 6등인가요?"
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",5등
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",5등 5등이요
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.","아 5등, 5등 아까 그 박나래 6등을 이수근님으로 뽑아가지고 저는"
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",어떻게 되는거지?
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 6등은 이종석님이고 5등은 김유정님이었거든요
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",그러면은
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.",제가 봤을 때 저는 4등을 조수미님으로 뽑아가지고 그러면 조수미님이나 이수근님 둘중에 한분으로 순서대로 가는 것도 괜찮을거 같기도 하고
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",그것도 괜찮은 것 같아요.
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",조수미님이 그럼 5등?
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",음 조수미님
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",네
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",어 5등 박나래님 아니었어요?
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",아 박나래님으로 갈까요?
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.",아 박나래
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",아 5등 아니었나요?
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",아 박나래님이 5등이었고 지금 6등 7등 정하는거에요
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.",박나래님이 5등이었고 그 다음 6등 7등
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",맞아요 6등 정하는거에요
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.",그럼 조수미님이 6등
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",네
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.",가고 이수근님이 7등
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",네
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",이수근님이 7등…
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",그럼 지금 간게 6등 개인적인 6등
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",말하기 좋아요 저는 펭수 뽑았습니다.
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 김유정님 뽑았습니다 7등은
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",7등이요?
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.",네
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",어 저는 조수미님 뽑았었고
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 6등이 이종석님
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",이종석님
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",어떻게 해야 되지?
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",어 이거 어떻게 해야 되지?
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 펭수를 뽑은 이유는 아이들의 대통령이기에 거의 아이들의 우상 또 성인들도 같이 좋아하는 그런 특유의 말투 제스처 또 다른 MC
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",그 밑에 펭수님이 나와가지고 그 밑에 7등 8등
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",아 7등이요?  전 7등 보아 님 뽑았고요.
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",8등은 오은영님 뽑았습니다
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",{LAUGH}
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.",잠깐만 그러면은
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",오은영님이 저는 좀 낫긴 낫거든요.
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저도 좀
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",왜냐하면 뭔가 솔루션이나 이런 걸 축제에서 하기에는 이미지가
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",그럼 그분을 8등으로 할까요?
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",오은영님을
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.",어? 다 낫다고
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저 오은영 15등이요 15등
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저 14등
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",아 낮다고 낮다고
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",제일 마지막이었거든요 저는
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.",아까 7등 다시 한번 저는 7등이 김유정 님이었고
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",전 보아님
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 조수미님
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",전 박나래님
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",나오는 걸 일단 제외를 해야 될 것 같고
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 8등을 얘기하면 한혜진님 뽑았습니다
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 8등이 노라조
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 8등이 이수근님
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",근데 아까 제가 이수근님 1등으로 뽑기는 했는데 혹시 이수근님 몇 등으로 뽑으셨죠?
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저 5등으로 뽑기는 했는데
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.",근데 이수근님도 나왔잖아요?
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",네 7번으로 나와서
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",지금 나왔구나 그러면 안 나오신 분이 오은영 님이랑
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",아니면 뒤에서부터 한번 할까요?
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",오늘 그게 더 나을수도 편할수도
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",아 뒤에서
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 꼴등 설민석님
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 꼴등 홍석천님
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 꼴등이 오은영님
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 꼴등이 박세리님
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.",어 완전 갈리네?
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",그러면 보는게 축제라는거를 어떤 기준으로 잡으셨어요?
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 무대만 한정적이지 않고 포괄적으로 봐서 모은 거고
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 좀 인지도나 좀 전체적으로 연령대를 봤을 때 좀 전력낸 1순위들을 약간 그런 느낌으로 갔거든요?
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 설민석님 뽑은 이유가 축제는 약간 당연히 재미있는 그런 이유로 생각을 했고 재미있는 그런 쪽으로 생각을 했고 재미쪽으로 설민석 님이 개인적으로 논란이 좀 있으셨던 걸로 알고 있어가지고 조금 그리고 와서 뭔가 역사 강의나 이런 것들로 뭔가 사람들의 뭔가 그런 것들을 주목을 끌어내기가 쉽지 않을 것 같아서 그래서 저는
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",그럼 15등 설민석님
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.",네 그러니까 저는 그렇게 했는데
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 설민석을 12등 뽑긴 했거든요.
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 9등 뽑긴 했는데 이게 좀 뭔가 이게 하위권 정하는 게 더 어렵네요
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",그러니까요
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",네 상위권 다다다 달라
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",홍석천님은 그 아까 좀 낮으시죠 15등이라 하셨죠?
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",네
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",전 10등인데 15등으로 내릴 수 있어요
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",{LAUGH}
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",{LAUGH} 몇등이에요?
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저도 10등 네
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",전 12등인데 아 이럼 뭐 어떻게 해야 되지?
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",홍석천님은 뭐 성적 문제 이런거 때문에 뽑은게 아니고 제가 생각하는 축제에서는 그나마 홍석천 네 색깔이 뒤로 좀 밀려서
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",그럼 박세리님?
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.",색깔이
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",박세리님 몇등하셨죠?
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 12등이요
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 15등이요.
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 13등
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저 14등이요
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",그럼 박세리님을 15등으로 할까요?
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",어 좀 낫긴 낫는데 15등으로 갈까요?
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",다 너무 유명하신 분이지만 너무 어쩔 수가 없네요 순위를 굳이 매겨야 되니
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",홍석천님 14등 어때요?
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 12등 내려도 될거 같아요
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",홍석천 상관 없긴 해요
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",나영석PD 사실 별로 높진 않거든요
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저도
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 거의 중 저는 9등이긴 합니다.
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",그래요? 몇등이에요?
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 나영석 PD님 14등인데
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저도 14등 어떻게 하지?
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.",그럼 13등으로 가도 괜찮을까요?
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",나영석님이요
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",홍석천님 14등 나영석님 13등
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",네 좋습니다
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",그렇게 갈까요?
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",지금 이제 3분밖에 안 남았으니
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",홍석천님 14등이죠?
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",네 나영석님 13등
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",그리고 그나마 제일 순위가 적었던 게 그다음에 설민석 님이었던가요?
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",오은영님도 낮긴 낮아서
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저도 오은영님도 낮고 전 둘다 낮아가지고
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 오은영님이 더 축제에 더 필요한 사람이라고 생각해서
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",전 12등 아 그러면 더 높아야 되는건가 10등 이렇게
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",지금 12등 뽑아야 되는 거죠?  저는 개인 순위는 김유정님이긴 한데 12등이
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",김유정 님이 김유님 아까 누가 높게 부른 분이 있어서
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",제가 높게 하긴 했는데
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.",설민석
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",아니면은 오은영 같거든요? 제가 볼때 그 밑에는 맞아요? 제가 볼때는
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",그럼 오은영 님으로 가시죠
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",오은영님 12등
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",오은영님 12등이요
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",그 다음에 설민석님 갈까요?
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",네 그 다음에 11등 설민석님
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.","그러면은 이제 남은 게 김유정님, 이종석님, 한예진님 배우 두 분과 모델 한 분인데 저는 인지도 면에서는 이종석 님을 좀 높게 주고 싶긴 해요."
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.",세분 이종석 한혜진
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",어떻게 순위가 어떻게 되나요?
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 김유정 이종석 한혜진이거든요
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",높은 순서대로인가요?
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",네 높은 순서대로
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 이종석 김유정 한혜진 님이요.
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저도 이종석 김유정 한혜진 한혜진 이렇게
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",저는 한혜진 이종석 김유정이긴 아 한혜진 김유정 이종석이긴 한데 다수의 원칙을 따르겠습니다.
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",그러면 지금 이종석을 첫 번째로 넣는 게 두 분이시죠?
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",그럼 이중
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",아 그래요? {LAUGH}
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",전 상관없긴 해요
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",뭐 한혜진님을 10등으로 하고 김유정님이 9등
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",9등 8등
O: 0.6875 C: 0.75 E: 0.5833 A: 0.3333 N: 0.375,"주어진 대화를 보고, 성격 5요인을 예측하세요.",9등 그리고 8등
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",8등이 이종석
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",네.
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",아 좋네요 비슷비슷하네요
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",한 30초 정도 남았는데 이게 생각보다 정리하는 게 어려웠습니다.
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",맞아요 이게 생각보다 시간이 길 줄 알았는데 생각보다 짧네요.
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",되게 짧네요
O: 0.6458 C: 0.5208 E: 0.7917 A: 0.6667 N: 0.2292,"주어진 대화를 보고, 성격 5요인을 예측하세요.",뒤에서 또 뭐 뒤에가 좀 힘드네 앞에가 딱딱딱 되는데
O: 0.7083 C: 0.5625 E: 0.6458 A: 0.7083 N: 0.5208,"주어진 대화를 보고, 성격 5요인을 예측하세요.",끝도 없을 것 같아서 그래서 후다닥 마음 맞추는 게
O: 0.4167 C: 0.5417 E: 0.5417 A: 0.5 N: 0.6875,"주어진 대화를 보고, 성격 5요인을 예측하세요.",딱 좋은 스피드로 끝낸거 같고 네
